80,320,0
80,320,0
73,300,20
70,284,34
67,276,39
66,267,45
65,253,57
64,249,53
63,239,62
64,234,63
61,233,62
60,228,63
59,224,65
59,220,67
58,218,68
58,212,71
57,208,72
57,205,72
57,198,79
59,197,77
58,194,78
57,191,81
57,189,80
55,187,82
56,190,83
56,193,83
55,190,82
53,189,79
53,192,78
51,192,77
51,190,78
51,187,80
51,186,81
52,180,87
52,178,84
52,177,84
56,176,84
56,177,86
56,175,88
55,171,91
56,170,90
56,168,82
56,168,73
55,169,70
55,166,68
55,163,62
55,162,57
55,162,51
55,162,50
58,160,49
58,159,52
58,161,51
58,159,50
60,157,50
60,161,48
60,161,47
60,159,46
59,156,46
62,156,49
62,155,50
62,153,50
62,153,49
62,151,49
64,149,51
67,146,54
67,145,54
67,143,53
67,144,54
66,146,53
66,142,56
66,146,46
66,146,46
66,142,48
66,140,48
68,139,49
68,138,50
68,137,50
68,135,48
68,136,47
70,136,47
70,134,49
70,132,49
69,131,48
68,129,46
68,126,47
68,124,48
68,123,47
68,121,48
70,120,47
70,118,48
70,117,48
70,119,48
69,118,46
69,120,45
69,120,45
69,120,41
69,124,38
69,123,39
69,122,37
69,118,38
69,112,43
69,112,40
69,111,40
69,109,38
71,108,36
73,108,35
74,108,32
74,111,32
74,111,32
74,109,34
73,109,33
73,107,32
76,107,29
76,105,31
77,104,31
77,101,32
76,105,30
76,107,31
76,105,31
79,105,29
78,104,30
78,103,30
78,103,28
76,106,24
76,105,24
75,104,24
75,101,25
76,98,26
76,98,23
77,98,23
80,97,22
83,97,21
83,97,19
83,96,20
83,93,23
86,92,22
88,90,22
88,90,21
88,88,18
88,88,17
88,87,17
93,87,18
93,86,17
92,85,18
89,85,17
89,85,17
89,84,18
89,84,17
90,86,18
93,86,17
93,84,18
95,84,18
99,84,17
99,84,16
99,82,17
97,81,15
96,82,17
95,81,15
98,81,14
98,81,12
97,81,11
97,80,12
95,79,13
96,77,13
99,73,17
99,73,12
98,71,13
98,69,13
97,69,13
97,68,14
97,68,13
98,67,14
98,67,12
101,67,11
100,67,10
99,66,9
100,65,10
100,65,9
100,64,10
102,64,10
102,63,11
102,67,11
103,65,13
103,68,12
103,66,14
102,65,12
101,65,11
101,64,11
101,64,10
101,64,9
100,63,10
100,62,11
99,60,12
99,60,11
99,59,12
99,59,12
98,59,12
98,59,12
97,59,12
99,62,12
97,61,15
